catagory,date_time,duration,distance_in_km,pickup_by_postcode,dropoff_by_postcode,fare_euro,service_fee_euro,tax,earnings_euro,third_parties,tip,promotion,hour,day_name
UberX,2023-12-09 17:23:00,0:14:01,3.23,1073,1017,12.96,3.24,0.68,14.04,0.0,0.0,5.0,17,Saturday
UberX,2023-12-09 17:44:00,0:10:07,3.24,1071,1082,17.99,4.5,0.95,17.54,0.0,0.0,5.0,17,Saturday
UberX,2023-12-09 18:03:00,0:05:32,1.66,1077,1071,11.97,2.99,0.63,13.35,0.0,0.0,5.0,18,Saturday
UberX,2023-12-09 18:18:00,0:09:18,1.62,1075,1054,9.5,2.38,0.5,11.62,0.0,0.0,5.0,18,Saturday
UberX,2023-12-09 18:27:00,0:19:22,6.08,1054,1018,18.62,4.66,0.98,17.98,0.0,0.0,5.0,18,Saturday
UberX,2023-12-09 19:06:00,0:15:16,5.33,1019,1016,18.01,4.5,0.95,22.56,0.0,5.0,5.0,19,Saturday
UberX,2023-12-09 19:31:00,0:20:47,6.7,1012,1097,17.2,4.3,0.9,17.0,0.0,0.0,5.0,19,Saturday
UberX,2023-12-09 20:00:00,0:19:17,6.48,1097,1054,18.79,4.7,0.99,13.1,0.0,0.0,0.0,20,Saturday
UberX,2023-12-09 21:30:00,0:08:36,5.54,1058,1051,13.0,3.25,0.68,11.07,0.0,2.0,0.0,21,Saturday
UberX,2023-12-09 21:47:00,0:15:22,6.52,1051,1012,18.28,4.57,0.96,12.75,0.0,0.0,0.0,21,Saturday
UberX,2023-12-09 22:05:00,0:33:52,8.02,1012,1053,25.57,6.39,1.34,17.84,0.0,0.0,0.0,22,Saturday
UberX,2023-12-09 22:49:00,0:09:14,2.69,1053,1053,10.74,2.69,0.56,7.49,0.0,0.0,0.0,22,Saturday
UberX,2023-12-09 23:00:00,0:05:59,1.89,1012,1017,12.83,3.21,0.67,8.95,0.0,0.0,0.0,23,Saturday
UberX,2023-12-09 23:14:00,0:17:04,10.15,1017,1111,22.54,5.64,1.18,15.72,0.0,0.0,0.0,23,Saturday
Saver,2023-12-09 23:46:00,0:13:10,7.92,1111,1093,13.72,2.61,0.55,10.56,0.0,0.0,0.0,23,Saturday
Saver,2023-12-10 00:02:00,0:21:19,6.72,1093,1057,16.27,3.09,0.65,17.53,0.0,0.0,5.0,0,Sunday
UberX,2023-12-10 00:28:00,0:08:41,3.2,1057,1058,11.53,2.88,0.6,13.05,0.0,0.0,5.0,0,Sunday
UberX,2023-12-10 00:41:00,0:09:02,3.03,1058,1057,11.75,2.94,0.62,13.19,0.0,0.0,5.0,0,Sunday
UberX,2023-12-10 00:52:00,0:00:00,0.0,1052,1052,9.5,2.38,0.5,6.62,0.0,0.0,0.0,0,Sunday
UberX,2023-12-10 00:58:00,0:11:20,6.45,1015,1043,15.4,3.85,0.81,15.74,0.0,0.0,5.0,0,Sunday
UberX,2023-12-10 01:08:00,0:00:00,0.0,1053,1053,9.5,2.38,0.5,6.62,0.0,0.0,0.0,1,Sunday
UberX,2023-12-10 01:14:00,0:05:56,3.75,1043,1056,11.27,2.82,0.59,12.86,0.0,0.0,5.0,1,Sunday
UberX,2023-12-10 01:36:00,0:11:45,5.44,1015,1058,15.8,3.95,0.83,16.02,0.0,0.0,5.0,1,Sunday
UberX,2023-12-10 02:02:00,0:12:29,4.81,1058,1017,14.3,3.58,0.75,14.97,0.0,0.0,5.0,2,Sunday
UberX,2023-12-10 02:10:00,0:06:20,2.07,1017,1074,9.5,2.38,0.5,11.62,0.0,0.0,5.0,2,Sunday
UberX,2023-12-10 02:22:00,0:07:22,2.82,1017,1054,9.82,2.46,0.52,11.84,0.0,0.0,5.0,2,Sunday
Saver,2023-12-10 02:37:00,0:05:37,3.47,1054,1061,8.63,1.64,0.34,11.65,0.0,0.0,5.0,2,Sunday
UberX,2023-12-10 02:52:00,0:00:00,0.0,1056,1056,9.5,2.38,0.5,6.62,0.0,0.0,0.0,2,Sunday
Saver,2023-12-10 02:56:00,0:08:53,4.85,1057,1065,11.15,2.12,0.45,13.58,0.0,0.0,5.0,2,Sunday
Saver,2023-12-10 03:19:00,0:07:48,7.07,1059,1063,13.2,2.51,0.53,15.16,0.0,0.0,5.0,3,Sunday
Saver,2023-12-10 03:35:00,0:13:46,13.34,1043,1083,21.88,4.16,0.87,16.85,0.0,0.0,0.0,3,Sunday
Priority,2023-12-10 14:16:00,0:32:55,12.72,1186,1016,35.37,8.84,1.86,25.67,0.0,0.0,1.0,14,Sunday
